KODIKOS,PERIGRAFI,PRICE (LIANIKI me FPA),stocksoftone,PROMITHEFTIS,CATEGORY,KATHGORIA,PHOTO,STOCK35.1,Q OIK35.1,Q,DESMEVMENA from RESERVED,DIATHESIMA,RESERVE BTN,RESERV LINKE,RESERVATIONS 2,CONTAINER
A7642BB,I107 WOODEN FAN ceiling BLACK blades BLACK motor,500,"22,0",I107,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/Ln1Xp1q3sKRIxXR7a9ATSw/o9IFJOfzouuWaKkzUXYAmN__Twqq5Xyj2gJsW7AaBXrjMIgtnzrL97W-Msas3ZrZVaPWWD0wK8paP5VLsEn5CKIk-hXjg7iL0CgYFCKImYjJxWFeXcVqMbYnq47A4bnhAGnWje0Z08ApAsB9xPkr9A/iNlR5w6t-dgtriMxkVqrg17gXp9skd6cJQ9ITtrxe0o),A7642BB,22,22,,9,https://pdh-catalog.softr.app/reservations?prefill_Code_=A7642BB,A7642BB,"A7642BB,A7642BB,A7642BB","I110.8,I110.9"
A7642DNB,I107 WOODEN FAN ceiling DARK NATURAL blades BLACK motor,500,"29,0",I107,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/YF7TTVVEJ16WCAoBozUi5g/CSmp4cDZF8nLV-PVUxjt20KlgTzik_dvXnGOavZTyGROMdTdJ9MnS3P9794M5CgO5t9arhczfWIUG20eZlUXvni_K6Dmz9rNoMbKwKfMtloI4eQkPj_5ast5Vor1PFMSXsOO78wxcZLYenYVzXalXA/MWEjmFMlqad2Aq8WIO2BtINCJATAzsKtGMwd1myokps),A7642DNB,29,29,,6,https://pdh-catalog.softr.app/reservations?prefill_Code_=A7642DNB,A7642DNB,"A7642DNB,A7642DNB","I110.8,I110.9"
A7642NB,I107 WOODEN FAN ceiling NATURAL blades BLACK motor,500,"32,0",I107,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/7TpwSgoBPWVotfbrysfqmg/i46MouqdnMexqKzx1pQI68HM1Rr6ROF-skHsBZRJL1cEodNCoZdLWqtM4baMVhItgrl63WFA1cAlm5v98RV0e7QB-oBFpb6tH8tG2kGT3VGGg5t_R_ZwuBgt8Jae2qhHzw1s3fKP7wIqI3LHVdCc9A/x2b1fislTzIEGCqgcKiN6waPffD_bTMcGLw4U8-XOOQ),A7642NB,32,32,,18,https://pdh-catalog.softr.app/reservations?prefill_Code_=A7642NB,A7642NB,"A7642NB,A7642NB,A7642NB","I110.8,I110.9"
A7642NW,I107 WOODEN FAN ceiling NATURAL blades WHITE motor,500,"18,0",I107,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/Nz5it-9xwjyjBpveJR3yUQ/LPaf12EOp4coeEg_jHVd6pHHpOQKSVm5-RQ-PTWEpwpKe6XzLRJ_BdunI4J9CW_A4RjKvcVBKIlD_LmaaAl1NRt5kkh3u0jh-xeO3Nekq1oHvS4Fr85yj3jmIwi8wgrMiAmuHUcs61gAbMps2GakrA/lY8K8wQMteyhIgtIeDDM8fiPEuXzzlVcCpJGP8xHMFY),A7642NW,18,18,,-64,https://pdh-catalog.softr.app/reservations?prefill_Code_=A7642NW,,"A7642NW,A7642NW,A7642NW","I110.8,I110.9"
A7642WW,I107 WOODEN FAN ceiling WHITE blades WHITE motor,500,"18,0",I107,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/V9DyieQGbm4U_z82SGLCKQ/fSMfM1yBcjw5QDmJjbqkrRLMGCLgSCERWi375fbFyV5_nU_DrffbTo55rX3oDi0XDqIQOVdFrsmxLy1VWwZ9NDH0U_4bIu-tAUuKgABABJE3bwenqDC1pJ3VD3y045-PjA7RWX2hp5VEUTe7A2iaPA/j0hy20MNTmpX_xtVc1E_oerqD9YbK8M7tokvOQi9ULw),A7642WW,18,18,,-10,https://pdh-catalog.softr.app/reservations?prefill_Code_=A7642WW,A7642WW,"A7642WW,A7642WW","I110.8,I110.9"
A7643,I126 PULL DOOR HANDLE,45,"123,0",I126,ΠΟΡΤΕΣ,ΠΟΡΤΕΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/RdJP8l1JQGlwFKHhOSK7IQ/2SYWgQxjJqyMHBp6oNHnMp_qKWdMXQ4vhTap3xd7B0F2De5jR_Lc9QgAtkgQ15sva-HNp4QDMfka-ygFCYePwga7pNMbu0LaPuVlSobdjNxFPgUb8gPj7GKFSvqKobkCbGqYyHYFZoUX8ZmOVXsgIQ/avnvQ3Lv4n0Tuyo_6TwEDaZVeDKH3ogxMrNMm9S_PWo),A7643,123,123,,123,https://pdh-catalog.softr.app/reservations?prefill_Code_=A7643,,,
A7644CHR,I128 SILVER ZINC ALLOY DOOR HANDLE (PAIR) WITH ZINC ALLOY STRIGHT KEYHOLE,27,"90,0",I128,ΠΟΡΤΕΣ,ΠΟΡΤΕΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/BU2bDyI9vmFjb2TFDskXnA/eDsjZXzzpMfaAHiOfRAtvWKBu8OqIPcWA9_icK0rjGcxAhSWccOtruffZ55Dk7765ct-oxy1Nc_SujsfiqSMllZ1ktNjKS7GOL7z3lZf-bkw737CGd0sYZmWHxzAgl-Lt717moUpCNQ65rJ_YGhWXA/UF2iPS5o7ldN0R2wupPOuWKxu-vmXF77yY42lRXdCRY),A7644CHR,89,89,,49,https://pdh-catalog.softr.app/reservations?prefill_Code_=A7644CHR,,A7644CHR,
A7646B,I128 DOOR HANDLE BLACK PAIR & KEYHOLES,30,"47,0",I128,ΠΟΡΤΕΣ,ΠΟΡΤΕΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/hhiDtW2UA2NY-FEZ-U1jcw/8gz8PICn2XgDqyV5dD6NZ5D-bMQ_C4g0CUsi5KugcmhLROea1vrH0ae0VNxj9UQXFTXH9tIP0oDV6B9HN9YqLXdF7Dp9oCEExhuMoeNfF17oiy8Kiz_bMa3DBLQWVzrsfsBDrKVRLOT9aA2jbtS9qg/qsU-bWEy3Uh3Ormh0-IjQlOP4c3u6vsiy-CoH8AIB8s),A7646B,44,44,,15,https://pdh-catalog.softr.app/reservations?prefill_Code_=A7646B,,"A7646B,A7646B",
A7646BLEFT,I128 DOOR HANDLE BLACK LEFT & KEYHOLE,18,"78,0",I128,ΠΟΡΤΕΣ,ΠΟΡΤΕΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/XpjUTyfHB2dbEhyfkWcKTA/akpdja5vcDIlzBc_XVEyCGNbdp3mXipEt_J0W5Ggpb0mjYI-gJcb4rEJZXpxwXkTif69AEgQKWB6HIrvAXiXcfx6S2XY52McC6pRPRJgDALBZvPnVUq5x8WeBeHmCeptqgCqW1wX16OeoLtJvPQ9cw/gNSkhAUHL89oE0AtW9uVo1mNtbqqF3DAp2_LNvQllHc),A7646BLEFT,78,78,,78,https://pdh-catalog.softr.app/reservations?prefill_Code_=A7646BLEFT,,,
A7646BRIGHT,I128 DOOR HANDLE BLACK RIGHT & KEYHOLE,18,"69,0",I128,ΠΟΡΤΕΣ,ΠΟΡΤΕΣ,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/xfAz6NAE7dumFlduzTc9gw/WBEE-LDrwUgo5DVzSQPlAtGPw5mI3RgNTqGYAo4KbFYkyR7OFhqkIXamJ3t6PZxzEtqhe_Ps0czhIIPh127iXKQKPzWosnsX7UNYD8ANbOMuT69yJeAfDaCQL-4-1CVRsTRowDqUjaDUtEzP8VIi_w/vdDSsLmLdIKNBCa23RhI86GmwaLQ_FHLOIi2rT-8Qc8),A7646BRIGHT,69,69,,69,https://pdh-catalog.softr.app/reservations?prefill_Code_=A7646BRIGHT,,,
