Code_,Name,Quantity reserved,OIK,Date,MASTER CODES,KODIKOS (from MASTER CODES),DESCRIPTION,Photo,EDIT BY,REMAINING,CATEGORY (from MASTER CODES),Created
L3245W,ALEX,"6,0",OIK85,,L3245W,L3245W,I59 BEDSIDE LIGHT 3W D100*H55mm,image005.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/Ql0gxu_5Nad8No-EnpYF5Q/pxlrDtcOjY8SvyhaKl_T_Pft9liIfXzZDpc-peNYRUX8ahteY9FtM5UKAX7xW5xbOdOu0463UYtVtPFY9wjf3gVgwz270inJ_HceI2dHmr96BGVQA536AWPv4fMQoE1dtYTnbKT0CKQO375dj9uJMBEWcDIP4JjpPy-weDV_3rA/VVjhcXQ0OJLsmEdYuXzhy2QWd4XbE3XuquSR6ptcXno),,"123,0",ΦΩΤΑ,7/20/2026 12:32pm
ZBATH015,ALEX,"4,0",OIK85,17/7/2026,ZBATH015,ZBATH015,I165 GRAB BAR,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/i8rOdzj9psCUdKhcIshH6Q/YIB3mVS_b5Wn1aSlH7pUUohNRTOuwBa9T5lcEClVvcPx9Ze5T4SDYa_7pZikBc_M3tO_mcDa1yl8wKDiiOOcqFlfZfvlCZ4Lxr0H3ocT4BPU7RraLhEGc_RM49FdAZyKaeaCZ59zGBhFwHCGy-jDxQ/1KGsoHuBNyNqNK26meny-DjgQuq_Yuoxgd8GAsZUWBU),,"1,0",ΜΠΑΝΙΟ,7/17/2026 11:35am
ZBATH016,ALEX,"3,0",OIK85,,ZBATH016,ZBATH016,I165 GRAB BAR,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/6MmY1CVv_0mQ57bW3wtqjQ/D2-38u_d9KNHGB0b1NyEMMwy14Hofxsuk5oLiIIqvWFuUME35WyQMnE6DFjKjkJu_E3Can6yhwX1ldH4HcMY-1nXYZxdZoOz1QGYeINSvmaIGSDurVkGPmaJAbhCZzP1IcX0rF0L8jjSoez_B1FsLg/XyYp9-3p5_iZ0aZ_rMubwCxgtWo3ZOrwyC85a0_U6x0),,"2,0",ΜΠΑΝΙΟ,7/17/2026 11:34am
L3267W,ALEX,"1,0",OIK93.1.1,2/6/2026,L3267W,L3267W,I59 ΣΠΟΤ ΟΡΟΦΗΣ ΕΣΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 7W 65X75MM IP44 ΘΕΡΜΟ ΛΕΥΚΟ,image012.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/PspERiqjeQBwkzMAJa_d7Q/9NMZAbBAfOas1qirpuitKBm-nkqZUHtJ9S1aaZ4OpIamh2Vgm0C0k86RDd5jryz-b_-ZnZ_1atGuUXZUHOpySijzBrO4HKmOs9vXSdt4lk-037h6_hdJhPVyRiu4n-RRQlYB0ESDMncg85QSD-bq55hGUWls1si90DruXxafiMg/Gn6gjZPsHI9Xa-i4CwdSPfaLbf0dsbZs4Fnkd4QXVkw),,"3,0",ΦΩΤΑ,6/8/2026 3:19pm
L3280W,ALEX,"6,0",OIK93.1.1,26/5/2026,L3280W,L3280W,I59 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 5W UP AND DOWN LIGHT100X100X80MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,image045.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/HHH8jxnTiuAZc5Ghinp45A/XqjgVnXdTJCk8PDcf1RcKRpTOhm9U-i4PTMOkeer6O-y40hLy8Y4-dSbUg1LTDxnC-u0XfwSR9Na9r-p0AT5qq3549wMgR03RFNwy8t13vmYNHvYCXnTpeehtjBJHfK3bHBCURvDyHOdpU6jGwaXj3C-jsHAqE5vjid1EAK9pc4/0gg9LGncrZRoM0dho3i2ttVC034dQunCwuTdXI80j-s),,"65,0",ΦΩΤΑ,6/8/2026 3:18pm
L3289W,ALEX,"2,0",OIK93.1.1,26/5/2026,L3289W,L3289W,I191 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 230Χ80Χ27ΜΜ 1.8W 3000K IP65,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/TGN_nAMEe1c9efj3wjIwDQ/3oBYBqGDwbZkpTmfIhaco56WgAV6x1HE4b0JzoXWLXuOfSvQ9csICw2tmGcFxJZe9vZHY8MlIYjRun1ct-6UHCRRjmMwd1S8dUNiNxKFqi2Ghm6hfgWXagqbhigs5WMjTXqRlESwmhN3d6LbixlCcA/ka9Se7cKD2qdz1fw0D_GeUkCyUCrfvG0Wx9sF4MsVUA),,"-213,0",ΦΩΤΑ,6/8/2026 3:18pm
A7642WW,ALEX,"2,0",OIK93.1.1,1/4/2026,A7642WW,A7642WW,I107 WOODEN FAN ceiling WHITE blades WHITE motor,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/V9DyieQGbm4U_z82SGLCKQ/fSMfM1yBcjw5QDmJjbqkrRLMGCLgSCERWi375fbFyV5_nU_DrffbTo55rX3oDi0XDqIQOVdFrsmxLy1VWwZ9NDH0U_4bIu-tAUuKgABABJE3bwenqDC1pJ3VD3y045-PjA7RWX2hp5VEUTe7A2iaPA/j0hy20MNTmpX_xtVc1E_oerqD9YbK8M7tokvOQi9ULw),,"-10,0",ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,6/8/2026 3:17pm
L3289W,ALEX,"2,0",OIK93.1.1,28/5/2026,L3289W,L3289W,I191 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 230Χ80Χ27ΜΜ 1.8W 3000K IP65,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/TGN_nAMEe1c9efj3wjIwDQ/3oBYBqGDwbZkpTmfIhaco56WgAV6x1HE4b0JzoXWLXuOfSvQ9csICw2tmGcFxJZe9vZHY8MlIYjRun1ct-6UHCRRjmMwd1S8dUNiNxKFqi2Ghm6hfgWXagqbhigs5WMjTXqRlESwmhN3d6LbixlCcA/ka9Se7cKD2qdz1fw0D_GeUkCyUCrfvG0Wx9sF4MsVUA),,"-213,0",ΦΩΤΑ,5/28/2026 10:15am
L3280W,ALEX,"6,0",OIK93.1.1,28/5/2026,L3280W,L3280W,I59 ΑΠΛΙΚΑ ΕΠΙΤΟΙΧΙΑ ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ 5W UP AND DOWN LIGHT100X100X80MM IP65 ΘΕΡΜΟ ΛΕΥΚΟ,image045.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/HHH8jxnTiuAZc5Ghinp45A/XqjgVnXdTJCk8PDcf1RcKRpTOhm9U-i4PTMOkeer6O-y40hLy8Y4-dSbUg1LTDxnC-u0XfwSR9Na9r-p0AT5qq3549wMgR03RFNwy8t13vmYNHvYCXnTpeehtjBJHfK3bHBCURvDyHOdpU6jGwaXj3C-jsHAqE5vjid1EAK9pc4/0gg9LGncrZRoM0dho3i2ttVC034dQunCwuTdXI80j-s),,"65,0",ΦΩΤΑ,5/28/2026 10:14am
TL033.3,VASIA,"21,0",87.2.1,,TL033.3,TL033.3,B169 STEP WALK RIVER STONE 60x30x2,image.png (https://v5.airtableusercontent.com/v3/u/55/55/1785175200000/8L-8K8hvyb66dDTV0QnLEg/VVV0E0VU6uSZjZdAXlh1RPU_t6E3YoCZfZWVnLGvicg3Iq5KkOeB-Fm4MSwl81YMuNqKhNFJtSmNqKQhguY1sGzx27YBaAPQuVlLPxmJAL_qeGBAZpVYp_rtd0rHCIx3CCpmTlO7UcFVMo1elcJhxg/vWznbcZ3nAbENCyWQgdwr9ZyAGdQGjWWlnjzPFTrgeU),,"92,0",TILES,2/12/2026 9:36am
