kodikos,perigrafi,price,stock_softone,promitheftis,category,kathgoria,photo_url,container,q
A7642BB,I107 WOODEN FAN ceiling BLACK blades BLACK motor,500,22,I107,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/A7642BB.png,"I110.8,I110.9",22
A7642DNB,I107 WOODEN FAN ceiling DARK NATURAL blades BLACK motor,500,29,I107,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/A7642DNB.png,"I110.8,I110.9",29
A7642NB,I107 WOODEN FAN ceiling NATURAL blades BLACK motor,500,32,I107,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/A7642NB.png,"I110.8,I110.9",32
A7642NW,I107 WOODEN FAN ceiling NATURAL blades WHITE motor,500,18,I107,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/A7642NW.png,"I110.8,I110.9",18
A7642WW,I107 WOODEN FAN ceiling WHITE blades WHITE motor,500,18,I107,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,ΑΝΕΜΙΣΤΗΡΕΣ ΟΡΟΦΗΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/A7642WW.png,"I110.8,I110.9",18
A7643,I126 PULL DOOR HANDLE,45,123,I126,ΠΟΡΤΕΣ,ΠΟΡΤΕΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/A7643.png,,123
A7644CHR,I128 SILVER ZINC ALLOY DOOR HANDLE (PAIR) WITH ZINC ALLOY STRIGHT KEYHOLE,27,90,I128,ΠΟΡΤΕΣ,ΠΟΡΤΕΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/A7644CHR.png,,89
A7646B,I128 DOOR HANDLE BLACK PAIR & KEYHOLES,30,47,I128,ΠΟΡΤΕΣ,ΠΟΡΤΕΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/A7646B.png,,44
A7646BLEFT,I128 DOOR HANDLE BLACK LEFT & KEYHOLE,18,78,I128,ΠΟΡΤΕΣ,ΠΟΡΤΕΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/A7646BLEFT.png,,78
A7646BRIGHT,I128 DOOR HANDLE BLACK RIGHT & KEYHOLE,18,69,I128,ΠΟΡΤΕΣ,ΠΟΡΤΕΣ,https://cdn.jsdelivr.net/gh/adenadoume/erp-equipment-reservations@main/catalog-images/A7646BRIGHT.png,,69
